UAvg,IA,IB,IC,UTHDAvg,ITHDAvg,PF,F,PSum,SSum,Iavg,Deviation_A,Deviation_B,Deviation_C,Max_Deviation,Current_Imbalance_%,Status
173.5,91.47,78.84,87.68,2.341,39.95,0.896,60.11,22774.46,25416.15,85.99666666666667,5.473333333333329,7.156666666666666,1.6833333333333371,7.156666666666666,8.322027985580837,Normal
173.5,88.31,76.33,84.76,2.367,40.705,0.892,60.0,21930.71,24578.77,83.13333333333333,5.1766666666666765,6.8033333333333275,1.6266666666666794,6.8033333333333275,8.183640737770643,Normal
173.66,84.43,73.08,80.91,2.476,41.162,0.89,59.96,20942.98,23525.63,79.47333333333333,4.956666666666678,6.393333333333331,1.4366666666666674,6.393333333333331,8.044627128596591,Normal
173.41,76.45,65.08,72.96,2.3,43.7,0.888,59.91,18717.52,21089.8,71.49666666666667,4.953333333333333,6.416666666666671,1.463333333333324,6.416666666666671,8.97477737889879,Normal
173.42,76.23,65.41,72.3,2.34,41.443,0.889,59.83,18727.78,21067.53,71.31333333333333,4.916666666666671,5.903333333333336,0.9866666666666646,5.903333333333336,8.278021875292142,Normal
173.73,85.14,74.71,81.54,2.321,38.991,0.891,60.06,21277.61,23868.23,80.46333333333332,4.6766666666666765,5.75333333333333,1.0766666666666822,5.75333333333333,7.150254774431415,Normal
173.82,83.84,71.97,79.86,2.166,41.661,0.891,59.96,20722.27,23258.24,78.55666666666667,5.283333333333331,6.586666666666673,1.3033333333333275,6.586666666666673,8.384605592565883,Normal
174.28,67.91,57.35,64.87,2.091,45.034,0.887,60.01,16647.71,18769.9,63.376666666666665,4.533333333333331,6.026666666666664,1.4933333333333394,6.026666666666664,9.509283122074367,Normal
174.62,76.79,65.83,73.43,2.205,42.918,0.887,59.96,18986.52,21406.95,72.01666666666667,4.7733333333333405,6.186666666666667,1.413333333333341,6.186666666666667,8.59060402684564,Normal
171.86,77.48,65.48,74.32,2.125,43.758,0.893,60.07,18875.7,21148.94,72.42666666666666,5.053333333333342,6.946666666666658,1.8933333333333309,6.946666666666658,9.591310751104555,Normal
172.1,79.2,66.84,75.25,2.137,42.415,0.895,59.94,19302.1,21577.76,73.76333333333334,5.436666666666667,6.923333333333332,1.4866666666666646,6.923333333333332,9.385873740340728,Normal
172.21,80.57,68.45,76.12,2.16,40.881,0.896,59.88,19698.16,21990.42,75.04666666666667,5.523333333333326,6.596666666666664,1.0733333333333377,6.596666666666664,8.790086168606196,Normal
172.56,73.15,61.72,69.77,2.047,43.655,0.89,59.98,17808.99,20002.0,68.21333333333332,4.936666666666682,6.493333333333325,1.556666666666672,6.493333333333325,9.519155590304914,Normal
173.0,74.34,62.45,70.73,2.07,43.275,0.894,59.85,18176.07,20328.08,69.17333333333335,5.166666666666657,6.723333333333343,1.5566666666666578,6.723333333333343,9.719545104086366,Normal
174.26,62.7,51.8,59.44,2.007,47.186,0.886,60.25,15176.93,17129.08,57.98,4.720000000000006,6.18,1.4600000000000009,6.18,10.65884787857882,Warning
174.2,57.53,47.5,55.2,1.962,48.974,0.882,59.86,13902.27,15761.95,53.410000000000004,4.119999999999997,5.910000000000004,1.7899999999999991,5.910000000000004,11.065343568620115,Warning
174.35,62.97,51.55,60.06,2.057,49.335,0.885,60.06,15209.68,17176.46,58.19333333333333,4.776666666666671,6.643333333333331,1.8666666666666742,6.643333333333331,11.415969755985792,Warning
174.26,66.73,55.64,64.13,2.015,46.29,0.891,60.06,16360.15,18370.33,62.166666666666664,4.56333333333334,6.526666666666664,1.9633333333333312,6.526666666666664,10.498659517426269,Warning
